"기준_년분기_코드","서울시_코드","서울시_코드_명","서비스_업종_코드","서비스_업종_코드_명","점포_수","유사_업종_점포_수","개업_율","개업_점포_수","폐업_률","폐업_점포_수","프랜차이즈_점포_수"
"20234","11","서울시","CS200042","통번역서비스","2459","2459","2","47","1","35","0"
"20234","11","서울시","CS200045","비디오/서적임대","201","223","2","4","5","10","22"
"20234","11","서울시","CS300003","컴퓨터및주변장치판매","9708","9711","1","87","1","94","3"
"20234","11","서울시","CS300009","청과상","9055","9103","2","203","2","186","48"
"20234","11","서울시","CS300016","안경","2022","2703","1","38","1","29","681"
"20234","11","서울시","CS300023","미용재료","1485","1485","1","21","2","27","0"
"20234","11","서울시","CS300031","가구","3539","3542","1","37","2","52","3"
"20234","11","서울시","CS300033","철물점","2142","2143","1","12","1","23","1"
"20234","11","서울시","CS300034","악기","758","758","1","4","1","7","0"
"20241","11","서울시","CS100004","양식음식점","8078","9145","5","441","4","392","1067"
"20241","11","서울시","CS100009","호프-간이주점","16180","18179","2","442","4","675","1999"
"20241","11","서울시","CS100010","커피-음료","21619","28675","5","1542","5","1327","7056"
"20241","11","서울시","CS200008","한의원","3932","3932","1","32","2","59","0"
"20241","11","서울시","CS200018","볼링장","144","144","2","3","2","3","0"
"20241","11","서울시","CS200020","전자게임장","288","298","1","2","6","18","10"
"20241","11","서울시","CS200030","피부관리실","7803","8072","8","608","3","209","269"
"20241","11","서울시","CS200043","건축물청소","6077","6189","2","116","3","170","112"
"20241","11","서울시","CS300008","수산물판매","5907","5954","0","11","2","132","47"
"20241","11","서울시","CS300012","한복점","316","316","0","0","3","8","0"
"20241","11","서울시","CS300015","가방","3072","3091","1","33","3","98","19"
"20241","11","서울시","CS300026","완구","945","946","4","34","3","25","1"
"20241","11","서울시","CS100003","일식음식점","6177","7350","6","432","5","328","1173"
"20241","11","서울시","CS200001","일반교습학원","23211","25416","6","1438","3","853","2205"
"20241","11","서울시","CS200004","컴퓨터학원","483","491","0","2","3","14","8"
"20241","11","서울시","CS200011","변리사사무소","1005","1005","0","4","1","8","0"
"20241","11","서울시","CS200023","통신기기수리","554","554","0","0","4","21","0"
"20241","11","서울시","CS200025","자동차수리","4079","4560","1","66","1","57","481"
"20241","11","서울시","CS200037","노래방","5800","5936","3","146","3","173","136"
"20241","11","서울시","CS200039","DVD방","32","32","0","0","0","0","0"
"20241","11","서울시","CS200040","녹음실","1215","1217","0","1","2","27","2"
"20241","11","서울시","CS300001","슈퍼마켓","8145","11587","5","538","3","395","3442"
"20241","11","서울시","CS300013","유아의류","1702","1813","1","21","3","59","111"
"20241","11","서울시","CS300020","서적","4178","4260","2","89","3","110","82"
"20241","11","서울시","CS300022","화장품","14320","15202","1","84","3","509","882"
"20241","11","서울시","CS300035","인테리어","4242","4244","2","82","2","95","2"
"20241","11","서울시","CS300036","조명용품","11531","11539","0","20","1","141","8"
"20241","11","서울시","CS300040","재생용품 판매점","1323","1323","0","1","2","21","0"
"20241","11","서울시","CS100008","분식전문점","9345","12474","5","620","4","518","3129"
"20241","11","서울시","CS200003","예술학원","10280","10739","4","413","3","359","459"
"20241","11","서울시","CS200012","법무사사무소","2379","2379","1","12","1","33","0"
"20241","11","서울시","CS200015","세무사사무소","7582","7582","3","209","1","68","0"
"20241","11","서울시","CS200016","당구장","3760","3808","6","231","5","181","48"
"20241","11","서울시","CS200032","가전제품수리","3082","3085","1","16","2","72","3"
"20241","11","서울시","CS200033","부동산중개업","42714","42777","0","151","3","1158","63"
"20241","11","서울시","CS200041","사진관","6866","6981","2","155","3","186","115"
"20241","11","서울시","CS200044","여행사","7168","7174","1","50","2","123","6"
"20241","11","서울시","CS300005","주류도매","954","954","0","2","1","10","0"
"20241","11","서울시","CS300011","일반의류","49877","49978","1","634","3","1522","101"
"20241","11","서울시","CS300027","섬유제품","2898","2902","1","30","2","48","4"
"20241","11","서울시","CS300038","자동차부품","3792","3796","0","6","2","79","4"
"20241","11","서울시","CS100001","한식음식점","50674","58392","5","3138","4","2272","7718"
"20241","11","서울시","CS200013","기타법무서비스","2538","2538","0","5","2","58","0"
"20241","11","서울시","CS200022","복권방","1232","1232","1","8","1","17","0"
"20241","11","서울시","CS200024","스포츠클럽","4402","4606","6","263","3","158","204"
"20241","11","서울시","CS200026","자동차미용","1642","1762","2","42","5","79","120"
"20241","11","서울시","CS200027","모터사이클수리","687","700","3","20","2","15","13"
"20241","11","서울시","CS200046","의류임대","647","649","0","2","2","13","2"
"20241","11","서울시","CS200047","가정용품임대","1180","1182","0","3","3","36","2"
"20241","11","서울시","CS300018","의약품","8317","8880","3","276","2","167","563"
"20241","11","서울시","CS300024","운동/경기용품","3824","3829","2","91","2","62","5"
"20241","11","서울시","CS300025","자전거 및 기타운송장비","838","838","2","18","3","27","0"
"20241","11","서울시","CS300041","예술품","2229","2229","2","39","3","63","0"
"20241","11","서울시","CS300043","전자상거래업","27072","27088","0","40","10","2705","16"
"20244","11","서울시","CS300010","반찬가게","9398","9735","3","284","2","176","337"
"20244","11","서울시","CS300021","문구","4157","4592","1","64","1","63","435"
"20244","11","서울시","CS100005","제과점","5350","7281","4","252","4","278","1931"
